iter	MultiClass
0	0.6796005249
1	0.6668157629
2	0.6546588795
3	0.6429750597
4	0.631966627
5	0.6214163703
6	0.6113100619
7	0.6016717034
8	0.5925116049
9	0.5838544691
10	0.5754181733
11	0.5674555598
12	0.5598008439
13	0.5524437982
14	0.5452700641
15	0.5384932647
16	0.5320572724
17	0.5257983233
18	0.519821167
19	0.5141014718
20	0.5086216695
21	0.5033660476
22	0.4982524975
23	0.4933036186
24	0.4887772019
25	0.4842038129
26	0.4798739459
27	0.4757776621
28	0.4717715702
29	0.4678218532
30	0.4638373298
31	0.4602746912
32	0.456761953
33	0.4532363067
34	0.4498980136
35	0.4465184805
36	0.4434395043
37	0.4404191301
38	0.4375011547
39	0.4346012012
40	0.4318639807
41	0.4290759525
42	0.4263678061
43	0.4238712208
44	0.4213971937
45	0.4189335179
46	0.4167026829
47	0.4143730782
48	0.4121747404
49	0.4100592948
50	0.4080298759
51	0.4059408652
52	0.4038909087
53	0.4019187309
54	0.3999002818
55	0.3980069547
56	0.3961948292
57	0.3945314562
58	0.3928829709
59	0.39113918
60	0.3895455438
61	0.3879885287
62	0.3863356307
63	0.3847133327
64	0.3831715764
65	0.3817307756
66	0.3803131928
67	0.3789045592
68	0.3776368425
69	0.3763182357
70	0.3749944326
71	0.3738345997
72	0.3726320009
73	0.3714448259
74	0.3701089395
75	0.3687589078
76	0.367730218
77	0.3667200449
78	0.36528044
79	0.364180735
80	0.3630459347
81	0.3617759086
82	0.3606660998
83	0.359447005
84	0.3584499462
85	0.3574594034
86	0.3565157504
87	0.3553307198
88	0.3541546796
89	0.3530569128
90	0.3520811751
91	0.3512320854
92	0.3502751118
93	0.3493283658
94	0.348259797
95	0.3472174155
96	0.3464107204
97	0.3456356358
98	0.344794361
99	0.3440751153
100	0.3433428996
101	0.3423515526
102	0.341681898
103	0.3407907434
104	0.3397359487
105	0.3386635445
106	0.3379940548
107	0.3372121244
108	0.3363632821
109	0.33526434
110	0.3344329009
111	0.3336935301
112	0.3329499941
113	0.3322064168
114	0.3313970824
115	0.3304645229
116	0.3295344997
117	0.3287106901
118	0.3277808112
119	0.3269505475
120	0.3260530833
121	0.3255369444
122	0.3246964532
123	0.3241593438
124	0.32325524
125	0.3226097519
126	0.3219083631
127	0.3212189339
128	0.3206298622
129	0.3199684143
130	0.3188616366
131	0.3181449272
132	0.3175154609
133	0.31686389
134	0.3160729486
135	0.315503672
136	0.3148225527
137	0.3142653388
138	0.3135468354
139	0.3128178365
140	0.3123572685
141	0.3118488827
142	0.3112318503
143	0.3106974009
144	0.3102608758
145	0.3095387845
146	0.3089874474
147	0.3083095654
148	0.3075533068
149	0.3069949588
150	0.3062583099
151	0.3057527284
152	0.3052523639
153	0.3046517037
154	0.3042171994
155	0.3037309595
156	0.3032050674
157	0.3024958224
158	0.3017675245
159	0.3012281469
160	0.3006948729
161	0.300001196
162	0.2993837717
163	0.2987903286
164	0.2984234372
165	0.2978921839
166	0.2974855578
167	0.296859102
168	0.2963982866
169	0.2958816116
170	0.2953955161
171	0.2948521794
172	0.2943037085
173	0.2938692866
174	0.2934600211
175	0.2928780633
176	0.2923652855
177	0.2918700347
178	0.2913704743
179	0.290956858
180	0.2904808869
181	0.2898468224
182	0.2894122562
183	0.2888006674
184	0.2881849134
185	0.2875020208
186	0.2869357135
187	0.2864710627
188	0.2860210522
189	0.2853959367
190	0.2848355061
191	0.2843992697
192	0.2839376295
193	0.2832026714
194	0.2827419178
195	0.2823381991
196	0.2817559526
197	0.2811958519
198	0.2806848887
199	0.2802848404
200	0.2797374416
201	0.2791333585
202	0.2787346092
203	0.2781815194
204	0.2776593389
205	0.2771555308
206	0.2768767073
207	0.2764806387
208	0.2760084616
209	0.2758006534
210	0.2754433091
211	0.2749480376
212	0.2743896278
213	0.2738026593
214	0.2733548345
215	0.2727956823
216	0.2720884581
217	0.2716620162
218	0.2711727039
219	0.2707269617
220	0.2703407288
221	0.2697885049
222	0.2694106643
223	0.2689520552
224	0.2683779536
225	0.2679277987
226	0.2675911775
227	0.2670375102
228	0.2665417645
229	0.2661737803
230	0.2658260036
231	0.2653649407
232	0.264954933
233	0.2644134728
234	0.2639104482
235	0.2632349169
236	0.2629924465
237	0.2623641762
238	0.2619411572
239	0.2613941502
240	0.2609794617
241	0.2605261107
242	0.2598406817
243	0.2594388807
244	0.2588567992
245	0.2585247555
246	0.2580345566
247	0.2577115858
248	0.2573100734
249	0.2567738301
250	0.2564313734
251	0.2560508522
252	0.2556841257
253	0.2553372976
254	0.2548932875
255	0.2544405757
256	0.2538897953
257	0.2534198039
258	0.2530256735
259	0.2524896364
260	0.2521756353
261	0.2518679232
262	0.2514611322
263	0.2511318928
264	0.2506805214
265	0.2500655922
266	0.2496517491
267	0.2492491439
268	0.2487980817
269	0.2483559686
270	0.2480911667
271	0.2476437955
272	0.2473197112
273	0.2469164462
274	0.2465434719
275	0.246121855
276	0.2456320067
277	0.2452268652
278	0.2449167612
279	0.2445947183
280	0.2440230911
281	0.2435434084
282	0.2431324521
283	0.2429269327
284	0.2425091924
285	0.2423118798
286	0.2418827572
287	0.2415148761
288	0.2410444517
289	0.2407263678
290	0.2404651333
291	0.2401033144
292	0.2398730304
293	0.2394445265
294	0.2389560184
295	0.2385666512
296	0.2382101523
297	0.2377705961
298	0.2374865145
299	0.2371831327
300	0.2367844453
301	0.2363727673
302	0.2360976142
303	0.2357675913
304	0.2353566144
305	0.2351925206
306	0.2349129754
307	0.2346940324
308	0.2342028025
309	0.2336380211
310	0.2332280752
311	0.2325892062
312	0.2321542482
313	0.2315130492
314	0.2311714379
315	0.2309077495
316	0.2305892326
317	0.2300878164
318	0.2297202445
319	0.2295153644
320	0.2290501775
321	0.2286295092
322	0.2283149101
323	0.2280091569
324	0.2275791065
325	0.2271708102
326	0.2268277967
327	0.2266642184
328	0.2263917253
329	0.2260699092
330	0.225721184
331	0.2254128533
332	0.2251364218
333	0.224810791
334	0.2242766922
335	0.2239175126
336	0.2236159041
337	0.223196638
338	0.2230010574
339	0.2225521397
340	0.2219469431
341	0.2215498228
342	0.221329787
343	0.2210590466
344	0.2206442343
345	0.2204976056
346	0.2201426119
347	0.2198165481
348	0.2194653073
349	0.2190476907
350	0.2187541652
351	0.2183265067
352	0.2181303488
353	0.2178737537
354	0.2175159145
355	0.2171974388
356	0.2169295646
357	0.2165977272
358	0.2161818633
359	0.2158236529
360	0.2153439702
361	0.2149292817
362	0.2147274945
363	0.2145948874
364	0.2143341477
365	0.2141657236
366	0.2138315974
367	0.2135437012
368	0.2133595028
369	0.213011953
370	0.2126422367
371	0.2122602721
372	0.2120731457
373	0.2117961162
374	0.2115669457
375	0.2112252107
376	0.2109707188
377	0.2106522637
378	0.2102623398
379	0.2100976892
380	0.2096340076
381	0.2091861209
382	0.2089981904
383	0.2087149749
384	0.2083267212
385	0.2079265698
386	0.2077428457
