iter	Passed	Remaining
405	6616	25975
406	6630	25950
407	6644	25927
408	6662	25917
409	6680	25908
410	6699	25903
411	6715	25885
412	6732	25870
413	6748	25854
414	6763	25832
415	6780	25816
416	6798	25806
417	6812	25783
418	6827	25762
419	6845	25750
420	6861	25733
421	6877	25715
422	6892	25697
423	6907	25675
424	6925	25664
425	6938	25636
426	6955	25621
427	6970	25603
428	6985	25581
429	6999	25557
430	7015	25537
431	7030	25516
432	7042	25486
433	7058	25469
434	7077	25464
435	7092	25441
436	7105	25412
437	7120	25394
438	7136	25377
439	7150	25352
440	7168	25340
441	7180	25310
442	7198	25299
443	7213	25278
444	7227	25254
445	7242	25234
446	7257	25213
447	7271	25191
448	7288	25177
449	7304	25161
450	7321	25146
451	7336	25125
452	7351	25105
453	7366	25086
454	7385	25077
455	7398	25051
456	7414	25034
457	7428	25008
458	7442	24986
459	7456	24962
460	7473	24948
461	7487	24925
462	7500	24898
463	7515	24880
464	7528	24852
465	7540	24823
466	7558	24811
467	7574	24794
468	7587	24770
469	7603	24752
470	7618	24731
471	7632	24707
472	7647	24687
473	7662	24669
474	7677	24647
475	7692	24628
476	7709	24614
477	7725	24598
478	7740	24578
479	7758	24567
480	7772	24544
481	7784	24516
482	7799	24495
483	7816	24483
484	7830	24459
485	7845	24441
486	7860	24420
487	7875	24401
488	7893	24391
489	7909	24375
490	7924	24353
491	7938	24331
492	7957	24323
493	7970	24299
494	7987	24286
495	8003	24270
496	8019	24252
497	8033	24229
498	8047	24208
499	8065	24196
500	8079	24174
501	8094	24155
502	8112	24144
503	8127	24124
504	8145	24115
505	8161	24096
506	8176	24077
507	8191	24057
508	8207	24042
509	8221	24018
510	8233	23992
511	8252	23982
512	8271	23974
513	8286	23956
514	8302	23941
515	8320	23930
516	8334	23907
517	8352	23896
518	8366	23875
519	8383	23861
520	8397	23837
521	8413	23823
522	8427	23799
523	8440	23776
524	8456	23759
525	8473	23744
526	8489	23727
527	8507	23717
528	8526	23708
529	8539	23685
530	8554	23665
531	8568	23642
532	8582	23622
533	8600	23610
534	8613	23585
535	8627	23563
536	8640	23540
537	8657	23526
538	8673	23511
539	8687	23489
540	8701	23467
541	8716	23447
542	8730	23426
543	8746	23409
544	8761	23389
545	8778	23378
546	8793	23358
547	8809	23340
548	8823	23321
549	8840	23306
550	8857	23292
551	8874	23279
552	8890	23262
553	8907	23249
554	8923	23232
555	8939	23216
556	8953	23195
557	8971	23185
558	8985	23162
559	8999	23142
560	9013	23120
561	9028	23102
562	9044	23084
563	9061	23072
564	9078	23058
565	9091	23034
566	9105	23012
567	9121	22996
568	9135	22975
569	9151	22958
570	9167	22942
571	9182	22923
572	9197	22905
573	9212	22885
574	9229	22873
575	9245	22855
576	9259	22836
577	9275	22820
578	9290	22800
579	9305	22781
580	9319	22761
581	9334	22742
582	9349	22724
583	9367	22712
584	9383	22697
585	9398	22677
586	9415	22663
587	9429	22644
588	9442	22620
589	9455	22597
590	9472	22583
591	9489	22570
592	9508	22560
593	9525	22547
594	9539	22526
595	9554	22507
596	9569	22488
597	9583	22469
598	9600	22454
599	9613	22431
600	9629	22415
601	9642	22391
602	9659	22378
603	9673	22357
604	9689	22341
605	9703	22320
606	9717	22301
607	9733	22283
608	9746	22261
609	9762	22246
610	9778	22230
611	9797	22221
612	9813	22204
613	9827	22184
614	9843	22167
615	9860	22153
616	9873	22132
617	9887	22110
618	9903	22094
619	9917	22073
620	9931	22053
621	9945	22034
622	9960	22015
623	9974	21995
624	9988	21974
625	10002	21954
626	10016	21934
627	10035	21924
628	10050	21906
629	10067	21892
630	10081	21873
631	10099	21860
